Date,Express,Guardian,Independent,Mail,Telegraph,Times
10:00:29-05/10/2015,-4.45,-5.2,-2.9,0.25,-2.25,-5.7
11:00:28-05/10/2015,-4.45,-2.85,-2.9,1.65,-2.5,-4.65
12:00:34-05/10/2015,-4.3,-2.2,-2.9,1.2,-2.5,-4.65
13:00:12-05/10/2015,-9.7,-0.85,-2.9,-0.5,-2.5,1.15
14:00:09-05/10/2015,-8.3,-0.6,-2.9,-2.2,1.0,1.15
15:00:10-05/10/2015,-7.65,1.35,-2.9,-2.3,-3.95,-4.1
16:01:56-05/10/2015,-7.05,-1.25,-2.9,-0.2,-0.75,1.15
17:00:19-05/10/2015,-4.95,-0.7,-2.9,-0.35,-0.2,-1.6
18:00:16-05/10/2015,-5.0,1.2,-2.9,-0.35,2.5,-2.9
19:00:12-05/10/2015,-4.75,3.65,-2.9,-0.35,-2.05,-2.75
22:00:10-05/10/2015,-1.8,2.05,-2.9,-0.7,-4.4,-0.95
06:00:25-06/10/2015,0.35,-3.3,-2.9,-2.5,-2.45,-7.15
07:00:37-06/10/2015,0.35,-4.0,-2.9,-2.5,-1.7,-7.15
11:00:20-06/10/2015,-2.8,-4.65,-2.9,-0.05,-4.2,-4.4
12:00:06-06/10/2015,-2.35,-5.3,-2.9,0.4,-3.95,-4.7
13:00:06-06/10/2015,-5.45,-4.8,-2.9,-2.3,-1.35,-4.7
14:00:07-06/10/2015,-4.95,-2.2,-2.9,-2.4,-1.2,1.15
15:00:07-06/10/2015,-4.4,-0.45,-2.9,-0.1,-0.4,-5.65
17:00:06-06/10/2015,-0.9,-6.35,-2.9,0.75,-2.75,-6.3
18:00:09-06/10/2015,-3.0,-6.1,-2.9,0.55,-1.35,1.15
19:00:07-06/10/2015,-1.7,-4.45,-2.9,0.55,-0.65,-3.0
20:00:07-06/10/2015,-1.45,-3.5,-2.9,0.55,-3.95,-0.85
21:00:06-06/10/2015,-2.5,-4.55,-2.9,0.55,-4.55,-1.2
22:00:16-06/10/2015,-2.2,-2.8,-2.9,-0.65,-4.2,-0.25
23:00:10-06/10/2015,-3.95,-2.7,-2.9,-3.2,-4.45,-0.25
08:00:30-07/10/2015,-2.65,1.85,-2.9,-2.4,0.15,-1.5
09:00:07-07/10/2015,-2.7,-2.5,-2.9,-1.1,-1.5,1.15
10:00:09-07/10/2015,-2.95,-0.8,-2.9,-1.1,-1.5,-1.95
11:00:19-07/10/2015,-4.65,-0.25,-2.9,-2.65,-1.5,-4.05
12:00:35-07/10/2015,-5.85,0.9,-2.9,-1.95,-3.95,-4.05
13:00:08-07/10/2015,-5.65,0.75,-2.9,-2.55,-2.85,-3.35
14:00:08-07/10/2015,-6.15,-0.1,-2.9,-1.5,-4.7,-4.3
15:00:07-07/10/2015,-5.15,-2.45,-2.9,-2.2,-3.5,-4.95
16:00:09-07/10/2015,-4.25,-0.3,-2.9,-2.2,-2.4,-5.7
17:00:08-07/10/2015,-1.45,-3.05,-2.9,-2.2,-0.4,-4.35
18:00:09-07/10/2015,-2.1,-1.95,-2.9,-1.0,-0.05,-3.95
19:00:09-07/10/2015,-7.75,-1.2,-2.9,-1.0,-0.45,-4.35
20:00:09-07/10/2015,-2.9,-1.8,-2.9,-1.0,-4.6,-3.95
21:00:29-07/10/2015,-0.8,-0.55,-2.9,-1.0,-4.9,-5.85
22:00:26-07/10/2015,-2.0,1.05,-2.9,-0.3,-4.6,-6.75
06:00:27-08/10/2015,0.6,-7.3,-2.9,-0.85,-0.8,-0.4
07:00:10-08/10/2015,0.9,-6.35,-2.9,-1.4,-1.65,-0.4
08:00:41-08/10/2015,0.9,-6.35,-2.9,-1.4,-1.8,-0.4
09:00:24-08/10/2015,-0.8,-4.4,-2.9,-1.15,-1.8,-0.4
11:00:50-08/10/2015,-3.0,-5.45,-2.9,-4.7,-2.85,1.15
12:00:37-08/10/2015,-4.05,-4.75,-2.9,-1.35,-2.45,-1.25
13:00:13-08/10/2015,-3.95,-3.55,-2.9,-0.15,-1.9,-1.25
14:00:28-08/10/2015,-5.1,-3.95,-2.9,-4.3,-0.55,-1.25
15:01:13-08/10/2015,-3.4,-3.15,-2.9,-1.05,-1.75,-2.55
17:00:19-08/10/2015,-5.25,-0.25,-2.9,-0.95,-2.1,0.25
18:00:06-08/10/2015,-3.4,0.55,-2.9,-0.65,-0.8,-0.1
19:00:07-08/10/2015,-0.9,-0.35,-2.9,0.75,-1.9,0.05
20:00:08-08/10/2015,-4.4,1.1,-2.9,-0.55,-2.6,-1.2
21:00:06-08/10/2015,-6.0,0.8,-2.9,-0.55,-2.95,-4.0
22:00:07-08/10/2015,-1.2,-3.2,-2.9,-0.45,-2.45,-3.2
09:00:35-09/10/2015,-4.95,-1.9,-2.9,-2.7,-1.6,-1.9
10:00:12-09/10/2015,-4.95,-1.65,-2.9,-1.45,-1.6,-0.9
11:00:15-09/10/2015,-4.25,-1.95,-2.9,-1.6,-1.65,-1.9
13:00:16-09/10/2015,-4.45,-3.2,-2.9,-1.35,4.7,0.0
14:00:07-09/10/2015,-4.35,-0.4,-2.9,-3.7,4.7,-1.65
15:00:37-09/10/2015,-6.25,-0.55,-2.9,-3.7,7.4,-3.55
16:00:11-09/10/2015,-5.8,0.75,-2.9,-3.25,6.8,-4.35
17:00:26-09/10/2015,-4.0,0.45,-2.9,-3.25,6.8,-0.6
18:00:14-09/10/2015,-2.25,-3.65,-2.9,-2.95,3.75,0.8
19:00:16-09/10/2015,-1.4,-3.6,-2.9,-2.6,2.4,-0.55
04:00:30-10/10/2015,-5.05,-3.4,-2.9,-3.35,-0.7,-3.65
09:00:26-10/10/2015,0.2,-1.85,-2.9,-0.7,-2.3,1.15
12:03:46-10/10/2015,-1.05,-2.15,-2.9,-0.5,1.8,-1.4
13:00:08-10/10/2015,-2.35,-1.3,-2.9,-0.5,1.8,-1.4
16:00:06-10/10/2015,-5.25,-4.55,-2.9,-1.2,0.65,-2.45
17:00:07-10/10/2015,-5.25,-5.45,-2.9,-1.2,2.05,-2.45
18:00:06-10/10/2015,-6.3,-6.2,-2.9,-4.4,1.0,-3.0
19:00:06-10/10/2015,-3.45,-4.8,-2.9,-4.35,1.0,-3.0
